arch,strategy,dataset,scale,degradation,deg_level,epoch,total_steps,train_loss,train_psnr,val_loss,val_psnr,subset_size,epoch_time,total_time
espcn,baseline,div2k,4,blur,0.5,0,45,0.21375224822097355,12.997728305392796,0.09552899412810803,18.08975751399994,720,33.002487897872925,33.002487897872925
espcn,baseline,div2k,4,blur,0.5,1,90,0.09895932939317491,17.942098681132,0.06963460557162762,20.466903924942017,720,32.512255907058716,65.51474380493164
espcn,baseline,div2k,4,blur,0.5,2,135,0.08041702177789477,19.71195623609755,0.06016845479607582,21.29951117038727,720,32.46492385864258,97.97966766357422
espcn,baseline,div2k,4,blur,0.5,3,180,0.07729140354527367,19.87559500800239,0.06322857397608458,21.140929770469665,720,32.473158836364746,130.45282649993896
espcn,baseline,div2k,4,blur,0.5,4,225,0.07120486969749133,20.57502187093099,0.05978910813573748,21.426853680610655,720,32.506149768829346,162.9589762687683
espcn,baseline,div2k,4,blur,0.5,5,270,0.06894602328538894,21.022804726494684,0.0554152256809175,21.92456797361374,720,32.51385998725891,195.47283625602722
espcn,baseline,div2k,4,blur,0.5,6,315,0.06497223592466778,21.571250491672092,0.06793440287001432,20.93337595462799,720,32.48923373222351,227.96206998825073
espcn,baseline,div2k,4,blur,0.5,7,360,0.0665732839041286,21.590646913316515,0.05387060975190252,22.127888333797454,720,32.532135009765625,260.49420499801636
espcn,baseline,div2k,4,blur,0.5,8,405,0.062403982215457496,21.938797675238714,0.05203742065932602,22.30922725200653,720,32.47142004966736,292.9656250476837
espcn,baseline,div2k,4,blur,0.5,9,450,0.06225176619158851,22.207151667277017,0.05182921787491068,22.36359031200409,720,32.43667030334473,325.40229535102844
espcn,baseline,div2k,4,blur,0.5,10,495,0.06104822117421362,22.43939904106988,0.05088103004964069,22.45279288291931,720,32.524173974990845,357.9264693260193
espcn,baseline,div2k,4,blur,0.5,11,540,0.05993636358115408,22.586721589830187,0.051613223645836113,22.442647075653078,720,32.594810247421265,390.52127957344055
espcn,baseline,div2k,4,blur,0.5,12,585,0.06040652882721689,22.56321987575955,0.05248878290876746,22.321844959259032,720,32.551265716552734,423.0725452899933
espcn,baseline,div2k,4,blur,0.5,13,630,0.0599723810950915,22.697043397691516,0.05009128254605457,22.579321014881135,720,32.987550020217896,456.0600953102112
espcn,baseline,div2k,4,blur,0.5,14,675,0.059296198272042806,22.913739183213977,0.05346543724881485,22.33836508989334,720,32.9399049282074,489.0000002384186
espcn,baseline,div2k,4,blur,0.5,15,720,0.0562114337252246,23.36264131334093,0.049637132324278355,22.635995745658875,720,33.01912999153137,522.01913022995
espcn,baseline,div2k,4,blur,0.5,16,765,0.058873108277718224,22.95404298570421,0.05398940653540194,22.271405267715455,720,32.853129148483276,554.8722593784332
espcn,baseline,div2k,4,blur,0.5,17,810,0.05829801650510894,22.958148193359374,0.04939477198058739,22.680673360824585,720,32.94801902770996,587.8202784061432
espcn,baseline,div2k,4,blur,0.5,18,855,0.05563783455226157,23.533737903171115,0.04954872470116243,22.668909883499147,720,32.96569609642029,620.7859745025635
espcn,baseline,div2k,4,blur,0.5,19,900,0.0551118736465772,23.484811316596137,0.05101068937219679,22.581782841682433,720,32.99356484413147,653.779539346695
espcn,baseline,div2k,4,blur,0.5,20,945,0.05704704912172424,23.513258531358506,0.04908563814824447,22.719870829582213,720,32.860607862472534,686.6401472091675
espcn,baseline,div2k,4,blur,0.5,21,990,0.05688478607270453,23.582119199964737,0.05179682350717485,22.549222671985625,720,32.884357213974,719.5245044231415
espcn,baseline,div2k,4,blur,0.5,22,1035,0.055855787545442584,23.46547033521864,0.04934742531040683,22.748250818252565,720,32.954198122024536,752.478702545166
espcn,baseline,div2k,4,blur,0.5,23,1080,0.055261100745863385,23.664433246188693,0.04992949003353715,22.6478231549263,720,32.95567202568054,785.4343745708466
espcn,baseline,div2k,4,blur,0.5,24,1125,0.05532725602388382,23.588468721177843,0.04870182741433382,22.782029581069946,720,32.895440101623535,818.3298146724701
