,epoch,accuracy,loss,timestamp
resnet18_baseline,8,0.97856,0.06346248824000358,2026-01-27T09:12:01.546671
resnet18_stagewise,9,0.96925,0.09234734116792678,2026-01-27T09:35:30.705079
resnet18_static,9,0.9760004799904002,0.08466422164805644,2026-01-27T09:49:32.787055
resnet18_online,8,0.988,0.05100915377934774,2026-01-27T09:58:52.964661
