experiment,model,strategy,epoch,loss,acc,dataset_type,imbalance_factor,noise_level,artifact_level
imbalance_im0.6_noise0.3_art0.5,resnet18,baseline,0,1.0768596641610308,0.6310731707317073,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,baseline,1,0.588740533200706,0.7977560975609757,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,baseline,2,0.38289048395505765,0.8678048780487805,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,baseline,3,0.23674772409113443,0.9192439024390244,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,baseline,4,0.153006114639887,0.9488536585365853,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,baseline,5,0.09713966170171412,0.9687560975609756,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,baseline,6,0.07588270083287867,0.9749024390243902,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,baseline,7,0.07691800839145009,0.9737560975609756,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,baseline,8,0.06181355257441358,0.9793170731707317,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,baseline,9,0.061554859252964576,0.9802195121951219,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,stagewise,0,0.46324434470355025,0.8401626016260163,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,stagewise,1,0.29216053057492264,0.9067479674796748,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,stagewise,2,0.16753586262222228,0.9510569105691057,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,stagewise,3,0.27692629436167276,0.9084552845528455,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,stagewise,4,0.25127040876605644,0.9157723577235772,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,stagewise,5,0.1566192767290565,0.9511382113821139,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,stagewise,6,0.14318459176435702,0.9570731707317073,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,stagewise,7,0.1328225418997974,0.9566463414634147,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,stagewise,8,0.1187771247363672,0.959329268292683,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,stagewise,9,0.10967343125401474,0.964329268292683,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,static,0,0.49293503305250114,0.8297965754427046,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,static,1,0.2894177706022136,0.9043611883506513,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,static,2,0.15080902278728617,0.9559490706863749,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,static,3,0.6454677119717005,0.7837857613228946,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,static,4,0.2813569159569506,0.9110265603277968,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,static,5,0.13873274363656413,0.9616594717202019,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,static,6,0.7258855878561027,0.76242042877003,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,static,7,0.3200343271159058,0.8955879124899393,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,static,8,0.14616310527667992,0.9586595448891491,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,static,9,0.07297599474691155,0.9827321284846711,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,online,0,1.4895076114375416,0.49373983739837396,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,online,1,0.9413136148840431,0.67130081300813,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,online,2,0.8528774073453453,0.7099186991869919,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,online,3,0.61842030335248,0.791219512195122,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,online,4,0.3960647540945348,0.8688617886178862,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,online,5,0.23361230232851293,0.9295934959349593,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,online,6,0.13070844392466352,0.9648780487804878,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,online,7,0.07732940353998324,0.9804878048780488,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,online,8,0.07142710123604876,0.9826016260162601,imbalance,0.6,0,0
imbalance_im0.6_noise0.3_art0.5,resnet18,online,9,0.04884389853089806,0.9879674796747967,imbalance,0.6,0,0
