experiment,model,strategy,epoch,total_steps,train_loss,train_acc,val_loss,val_acc,epoch_time,total_time,subset_size,dataset_type
stl10_artifacts_blur_art0.4,swin_t,baseline,0,36,0.917458075231976,0.7166666666666667,0.16681465220451355,0.956,401.21033906936646,401.21033906936646,4500,artifacts
stl10_artifacts_blur_art0.4,swin_t,baseline,1,72,0.2371023528046078,0.9277777777777778,0.09537268090248108,0.97,405.34681963920593,806.5571587085724,4500,artifacts
stl10_artifacts_blur_art0.4,swin_t,baseline,2,108,0.1310378224402666,0.9637777777777777,0.09429969042539596,0.972,412.3042278289795,1218.8613865375519,4500,artifacts
stl10_artifacts_blur_art0.4,swin_t,baseline,3,144,0.08097660641537772,0.9784444444444444,0.10287138879299164,0.97,408.13770389556885,1626.9990904331207,4500,artifacts
stl10_artifacts_blur_art0.4,swin_t,baseline,4,180,0.06133696027596792,0.9833333333333333,0.12331630158424377,0.966,423.0560848712921,2050.055175304413,4500,artifacts
stl10_artifacts_blur_art0.4,swin_t,baseline,5,216,0.08530685855282677,0.9748888888888889,0.09194763869047165,0.976,445.6291570663452,2495.684332370758,4500,artifacts
stl10_artifacts_blur_art0.4,swin_t,baseline,6,252,0.055873809941113,0.9842222222222222,0.10558830785751343,0.972,408.5465090274811,2904.230841398239,4500,artifacts
stl10_artifacts_blur_art0.4,swin_t,baseline,7,288,0.04319206512967746,0.9886666666666667,0.09168000209331513,0.978,412.714723110199,3316.945564508438,4500,artifacts
stl10_artifacts_blur_art0.4,swin_t,baseline,8,324,0.035863310191366404,0.9902222222222222,0.11622188723087311,0.968,434.04664611816406,3750.992210626602,4500,artifacts
stl10_artifacts_blur_art0.4,swin_t,baseline,9,360,0.0345784795983798,0.9902222222222222,0.12742580771446227,0.968,443.62697076797485,4194.619181394577,4500,artifacts
stl10_artifacts_blur_art0.4,swin_t,baseline,10,396,0.026186382787509097,0.9931111111111111,0.1349857838153839,0.97,427.112104177475,4621.731285572052,4500,artifacts
