experiment,model,strategy,epoch,total_steps,train_loss,train_acc,val_loss,val_acc,epoch_time,total_time,subset_size,dataset_type
stl10_noisy_noise0.3,swin_t,baseline,0,36,1.671817880206638,0.5522222222222222,0.5567857913970947,0.954,392.19011902809143,392.19011902809143,4500,noisy
stl10_noisy_noise0.3,swin_t,baseline,1,72,1.3292587720023261,0.6757777777777778,0.3730149812698364,0.966,399.6586260795593,791.8487451076508,4500,noisy
stl10_noisy_noise0.3,swin_t,baseline,2,108,1.2123490855958727,0.6893333333333334,0.45845218682289124,0.958,399.30014085769653,1191.1488859653473,4500,noisy
stl10_noisy_noise0.3,swin_t,baseline,3,144,1.09150628428989,0.7075555555555556,0.4075501041412353,0.966,399.0509150028229,1590.1998009681702,4500,noisy
stl10_noisy_noise0.3,swin_t,baseline,4,180,0.9466952192518446,0.7357777777777778,0.3499024019241333,0.954,399.35190296173096,1989.5517039299011,4500,noisy
stl10_noisy_noise0.3,swin_t,baseline,5,216,0.7982885716756185,0.768,0.4534410901069641,0.938,398.02471899986267,2387.576422929764,4500,noisy
stl10_noisy_noise0.3,swin_t,baseline,6,252,0.6709336824417115,0.8031111111111111,0.5258220818042755,0.884,400.59837794303894,2788.1748008728027,4500,noisy
stl10_noisy_noise0.3,swin_t,baseline,7,288,0.5274764490127564,0.8468888888888889,0.4096622805595398,0.9,409.2557189464569,3197.4305198192596,4500,noisy
stl10_noisy_noise0.3,swin_t,baseline,8,324,0.3975899278587765,0.8871111111111111,0.46348845958709717,0.866,403.0991518497467,3600.5296716690063,4500,noisy
stl10_noisy_noise0.3,swin_t,baseline,9,360,0.2987115657859378,0.9157777777777778,0.5224003891944885,0.848,402.2173047065735,4002.74697637558,4500,noisy
stl10_noisy_noise0.3,swin_t,baseline,10,396,0.22913575658533308,0.9366666666666666,0.5914674401283264,0.82,397.77552795410156,4400.522504329681,4500,noisy
stl10_noisy_noise0.3,swin_t,baseline,11,432,0.19793341453870136,0.9448888888888889,0.5858004865646362,0.838,405.23889207839966,4805.761396408081,4500,noisy
stl10_noisy_noise0.3,swin_t,baseline,12,468,0.1681599896285269,0.9537777777777777,0.5725108938217163,0.858,405.15217089653015,5210.913567304611,4500,noisy
stl10_noisy_noise0.3,swin_t,baseline,13,504,0.1464152425924937,0.9593333333333334,0.5147721002101898,0.878,405.74949193000793,5616.663059234619,4500,noisy
stl10_noisy_noise0.3,swin_t,baseline,14,540,0.12373773126800855,0.966,0.5395594322681427,0.852,406.56367111206055,6023.22673034668,4500,noisy
stl10_noisy_noise0.3,swin_t,baseline,15,576,0.10649356277783711,0.9702222222222222,0.5747256639003754,0.838,408.0029020309448,6431.2296323776245,4500,noisy
stl10_noisy_noise0.3,swin_t,baseline,16,612,0.11237825206915537,0.9715555555555555,0.5133279123306275,0.87,413.25189876556396,6844.4815311431885,4500,noisy
stl10_noisy_noise0.3,swin_t,stagewise,0,11,1.8707963450749716,0.42,0.8764932384490967,0.834,134.92874431610107,134.92874431610107,1350,noisy
stl10_noisy_noise0.3,swin_t,stagewise,1,22,1.499280636575487,0.6281481481481481,0.5011818590164184,0.932,135.07032084465027,269.99906516075134,1350,noisy
stl10_noisy_noise0.3,swin_t,stagewise,2,33,1.5629881539168182,0.6148148148148148,0.6441421465873718,0.956,134.60656809806824,404.6056332588196,1350,noisy
stl10_noisy_noise0.3,swin_t,stagewise,3,44,0.8427252640547576,0.8444444444444444,0.3088233404159546,0.944,133.12868809700012,537.7343213558197,1350,noisy
stl10_noisy_noise0.3,swin_t,stagewise,4,55,0.20501666020464013,0.9725925925925926,0.15711822354793548,0.958,130.2548348903656,667.9891562461853,1350,noisy
